Navn;Kodeverdi;Eier;Status;Oppdatert;Versjons ID;Beskrivelse;Gyldig fra;Gyldig til;ID;Mer generelt begrep;Ekstern id
Eide;1551;Kartverket;Tilbaketrukket;02.01.2023;1;Eide;;31.12.2019 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/1551;;
Eidfjord;1232;Kartverket;Tilbaketrukket;02.01.2023;1;Eidfjord;;31.12.2019 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/1232;;
Eidfjord;4619;Kartverket;Gyldig;02.01.2023;1;Eidfjord;01.01.2020 00:00:00;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/4619;;
Eidsberg;0125;Kartverket;Tilbaketrukket;02.01.2023;1;Eidsberg;;31.12.2019 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/0125;;
Eidskog;0420;Kartverket;Tilbaketrukket;02.01.2023;1;Eidskog;;31.12.2019 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/0420;;
Eidskog;3416;Kartverket;Gyldig;02.01.2023;1;Eidskog;01.01.2020 00:00:00;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/3416;;
Eidsvoll;3035;Kartverket;Tilbaketrukket;02.01.2023;1;Eidsvoll;01.01.2020 00:00:00;31.12.2023 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/3035;;
Eidsvoll;0237;Kartverket;Tilbaketrukket;02.01.2023;1;Eidsvoll;;31.12.2019 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/0237;;
Eidsvoll;3240;Kartverket;Gyldig;02.01.2023;1;Eidsvoll;01.01.2024 00:00:00;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/3240;;
Eigersund;1101;Kartverket;Gyldig;02.01.2023;1;Eigersund;;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/1101;;
Elverum;0427;Kartverket;Tilbaketrukket;02.01.2023;1;Elverum;;31.12.2019 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/0427;;
Elverum;3420;Kartverket;Gyldig;02.01.2023;1;Elverum;01.01.2020 00:00:00;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/3420;;
Enebakk;3028;Kartverket;Tilbaketrukket;02.01.2023;1;Enebakk;01.01.2020 00:00:00;31.12.2023 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/3028;;
Enebakk;3220;Kartverket;Gyldig;02.01.2023;1;Enebakk;01.01.2024 00:00:00;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/3220;;
Enebakk;0229;Kartverket;Tilbaketrukket;02.01.2023;1;Enebakk;;31.12.2019 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/0229;;
Engerdal;3425;Kartverket;Gyldig;02.01.2023;1;Engerdal;01.01.2020 00:00:00;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/3425;;
Engerdal;0434;Kartverket;Tilbaketrukket;02.01.2023;1;Engerdal;;31.12.2019 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/0434;;
Etne;1211;Kartverket;Tilbaketrukket;02.01.2023;1;Etne;;31.12.2019 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/1211;;
Etne;4611;Kartverket;Gyldig;02.01.2023;1;Etne;01.01.2020 00:00:00;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/4611;;
Etnedal;3450;Kartverket;Gyldig;02.01.2023;1;Etnedal;01.01.2020 00:00:00;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/3450;;
Etnedal;0541;Kartverket;Tilbaketrukket;02.01.2023;1;Etnedal;;31.12.2019 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/0541;;
Evenes – Evenášši;1853;Kartverket;Gyldig;02.01.2023;1;Evenes – Evenášši;;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/1853;;
Evje og Hornnes;4219;Kartverket;Gyldig;02.01.2023;1;Evje og Hornnes;01.01.2020 00:00:00;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/4219;;
Evje og Hornnes;0937;Kartverket;Tilbaketrukket;02.01.2023;1;Evje og Hornnes;;31.12.2019 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/0937;;
Farsund;4206;Kartverket;Gyldig;02.01.2023;1;Farsund;01.01.2020 00:00:00;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/4206;;
Farsund;1003;Kartverket;Tilbaketrukket;02.01.2023;1;Farsund;;31.12.2019 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/1003;;
Fauske – Fuossko;1841;Kartverket;Gyldig;02.01.2023;1;Fauske – Fuossko;;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/1841;;
Fedje;1265;Kartverket;Tilbaketrukket;02.01.2023;1;Fedje;;31.12.2019 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/1265;;
Fedje;4633;Kartverket;Gyldig;02.01.2023;1;Fedje;01.01.2020 00:00:00;;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/4633;;
Fet;0227;Kartverket;Tilbaketrukket;02.01.2023;1;Fet;;31.12.2019 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/0227;;
Finnøy;1141;Kartverket;Tilbaketrukket;02.01.2023;1;Finnøy;;31.12.2019 00:00:00;https://register.geonorge.no/sosi-kodelister/inndelinger/inndelingsbase/kommunenummer/1141;;
